temperature,pressure,vibration,humidity,equipment,faulty,active_power,reactive_power,label_elec,event,rul
75.74071220894001,22.95401759548667,2.338094753751008,41.86740679261492,Compressor,0.0,70726.0,43564.0,normal,False,1
49.5109594501023,76.42672868018283,4.809297752752174,20.26969224777289,Compressor,1.0,6812.0,3045.75,normal,True,0
66.90350286011939,45.53075870015616,1.5483453514434098,64.8049215266908,Compressor,0.0,24991.0,18531.0,normal,False,9
63.88614752611372,33.80291244598566,1.139279625084897,41.795515332279166,Compressor,0.0,96976.0,47212.0,normal,False,8
53.07043185804615,44.10520264774095,2.0716521371650067,47.45874176809897,Compressor,0.0,33839.0,14597.0,normal,False,7
68.49162288433304,45.43867810655463,1.1950486465253989,59.989678353166205,Compressor,0.0,79644.0,42872.0,normal,False,6
81.66370545669253,21.75488511863934,1.2024155004624104,47.00673026704116,Compressor,0.0,37707.0,17470.0,normal,False,5
67.41991463802391,31.18124113244933,1.4694021294460482,40.99360252021879,Compressor,0.0,6514.0,12048.0,warn,False,4
74.07052287124534,48.90387988098816,0.9233699136623706,50.28728692471304,Compressor,0.0,39683.0,5347.0,normal,False,3
73.37602662075201,24.21603372506265,0.8650384563362264,59.74118468233698,Compressor,0.0,113348.0,42980.0,normal,False,2
65.21241428478311,47.83788009835882,0.845610847757022,45.03636870503999,Compressor,0.0,-352.0,6780.0,warn,False,1
55.364850518678814,41.28148065848301,0.4527812366425485,23.994640725709765,Compressor,0.0,3314.5,3077.25,alert,True,0
76.7286123596682,45.77552995511196,1.3138408232147578,51.15435907401312,Compressor,0.0,79124.0,43972.0,normal,False,2
83.1830232485267,39.03492052574728,2.741882996293754,64.23631181818513,Compressor,0.0,92106.0,45020.0,normal,False,1
56.42482460158065,36.754471305056434,0.8128003757629357,59.51564925058104,Compressor,0.0,40600.0,31338.0,alert,True,0
62.07476552884788,45.92448296345742,0.9556861396631876,54.37498296408455,Compressor,0.0,86020.0,47308.0,normal,False,19
81.44293068559939,32.850576979800344,1.2540602725927663,55.64116926400197,Compressor,0.0,1626.75,243.25,normal,False,18
45.9633139889947,42.5675276851155,1.7287003713958722,51.95365575648608,Compressor,0.0,90880.0,46212.0,normal,False,17
70.2538842054241,34.749908686766034,0.6999053566189203,24.116408364485515,Compressor,0.0,83256.0,40378.0,normal,False,16
62.12216248091761,45.74177489080948,2.1854813800646467,35.76019666179033,Compressor,0.0,86504.0,42640.0,normal,False,15
69.2423571346454,41.1232172481068,1.0963611149948147,59.9080285612285,Compressor,0.0,39618.0,5868.0,normal,False,14
70.04229858994151,34.96589649884899,1.642419847677725,55.13211050420852,Compressor,0.0,384.75,193.5,normal,False,13
67.81346722564965,36.14724768857044,1.3842909693975038,52.84964915162697,Compressor,0.0,156564.0,66796.0,normal,False,12
61.83782755458035,23.86413370562339,2.080605701205807,36.13620927784216,Compressor,0.0,60546.0,32048.0,normal,False,11
87.1904061284182,32.39408885453904,1.1672330664956605,39.89399959348944,Compressor,0.0,10988.5,10465.0,warn,False,10
59.37696286273895,27.541030054544105,0.0230882572996877,40.09286478611906,Compressor,0.0,2385.0,3843.0,warn,False,9
69.77131937701118,29.236359434599528,1.407225732703573,51.75997252127395,Compressor,0.0,57074.0,21598.0,normal,False,8
74.41307151699246,28.163002865959477,1.8949538734269469,49.90628441479235,Compressor,0.0,66722.0,35162.0,normal,False,7
80.72507337309803,33.71940410713356,1.3475093500758348,54.76584146983393,Compressor,0.0,23640.0,58796.0,warn,False,6
80.72541799572758,36.08899707260675,1.1139176565676745,60.640832727255365,Compressor,0.0,70372.0,44600.0,normal,False,5
59.02697472367156,31.12297148319935,1.7779937168450697,37.01280365010625,Compressor,0.0,36745.3,17334.9,normal,False,4
66.99174043967702,34.586416484998146,1.7840437103058369,44.495068836878815,Compressor,0.0,69524.0,23828.0,normal,False,3
71.94384301577335,52.18637491029567,1.7939175609328948,39.59619849156089,Compressor,0.0,35476.0,14966.0,normal,False,2
65.30235535662864,37.79719805717979,1.885240218343752,32.5774103051998,Compressor,0.0,28453.0,17195.0,normal,False,1
63.94285076996662,29.9312838760495,1.8973206017868292,66.14729303006885,Compressor,0.0,2540.25,2808.5,alert,True,0
62.3841213496378,26.549534956193973,1.3135207448934372,66.39420548506403,Compressor,0.0,97464.0,45168.0,normal,False,1
120.85588955758838,65.69227938031287,2.967703546934301,56.34173583236568,Compressor,1.0,52602.0,7768.0,normal,True,0
48.03872178900053,31.023580105314544,1.0172124968950804,55.95963308831091,Compressor,0.0,40982.0,32694.0,alert,True,0
58.77455193755586,27.02188033625268,1.5731176395111806,37.07190710071838,Compressor,0.0,96888.0,46500.0,normal,False,3
58.88419750486449,44.49132472414087,1.8552122670457247,35.00403903440632,Compressor,0.0,56232.0,28072.0,normal,False,2
63.16365717713612,38.45027053509039,1.5838250776933278,30.660851883225668,Compressor,0.0,39209.0,11291.0,normal,False,1
36.4810056497079,75.04995425702273,0.779202963335785,18.720058893924158,Compressor,1.0,18961.0,20469.0,alert,True,0
83.56240028570824,26.471742626978557,1.378741775236989,59.82438830728908,Compressor,0.0,-1144.0,7868.0,warn,False,2
64.07535740847106,40.43435055985879,1.7779292296587037,52.952297411054325,Compressor,0.0,22621.0,43904.0,warn,False,1
82.98294713223662,71.43726309539058,2.8955481493317707,54.39925393114091,Compressor,1.0,84720.0,46352.0,normal,True,0
66.59401293090139,35.24112529052142,0.8136043751267955,48.41785189182292,Compressor,0.0,158420.0,53520.0,normal,False,10
83.88337778208448,36.44244041070002,1.4922264231782127,58.43150372596492,Compressor,0.0,39192.0,5839.0,normal,False,9
76.72573701202731,39.653786919764045,1.2615120700229705,55.30394305924753,Compressor,0.0,152508.0,52764.0,normal,False,8
